NO;BRANCH;SITE ID;SITE NAME;CHANNEL TYPE;GRADE STORE;GOLD;SILVER;BROWN;TOTAL;GOLD;SILVER;TOTAL
1;YOGYAKARTA;C000058727;A.TAKRIB KYAI MOJO;TRADITIONAL;B1; 3 ; 3 ;; 6 ; 870.202.475 ; 1.472.675.653 ; 2.342.878.128 
2;SEMARANG;C000058731;ADA SETIABUDI;TRADITIONAL;A; 1 ;1;; 2 ; 125.018.402 ; 185.443.252 ; 310.461.654 
3;SEMARANG;C000058732;AETRON (SEROJA);TRADITIONAL;A; 2 ;2;; 4 ; 803.957.938 ; 710.755.116 ; 1.514.713.054 
4;BALI;C000058740;PRIMADONA;TRADITIONAL;B1; 1 ;1;; 2 ; 166.895.088 ; 294.413.332 ; 461.308.420 
5;JAKARTA;C000058741;SINAR BERLIAN TABERNAKEL;TRADITIONAL;A; 1 ;1;; 2 ; 787.021.346 ; 740.944.124 ; 1.527.965.470 
6;BANDUNG;C000058746;ALAM RIA;TRADITIONAL;B1;;;1; 1 ; 169.682.723 ; 90.061.312 ; 259.744.035 
7;MAKASSAR;C000058747;ALASKA;TRADITIONAL;B1; 6 ;7;; 13 ; 1.879.925.142 ; 1.693.557.950 ; 3.573.483.092 
8;JAKARTA;C000058779;PT.PERMATA PRIMA TEKNOLOGI;TRADITIONAL;A; 2 ;1;; 3 ; 2.864.056.027 ; 615.420.823 ; 3.479.476.850 
9;SURABAYA;C000058782;PRATAMA 58;TRADITIONAL;A;;;1; 1 ; 165.135.725 ; 258.583.415 ; 423.719.140 
10;SEMARANG;C000058783;BERKAH JAYA - PEKALONGAN;TRADITIONAL;A; 1 ;1;; 2 ; 337.844.407 ; 336.070.129 ; 673.914.536 
11;JAKARTA KAM;C000058786;BEST DENKI SENAYAN CITY;MODERN;A; 3 ;2;; 5 ; 574.710.695 ; 221.315.948 ; 796.026.643 
12;JAKARTA KAM;C000058787;BEST DENKI MALL KELAPA GADING 5;MODERN;B1; 2 ;2;; 4 ; 364.637.905 ; 128.473.724 ; 493.111.629 
13;JAKARTA KAM;C000058789;BEST DENKI PACIFIC PLACE MALL;MODERN;A; 1 ;1;; 2 ; 254.637.071 ; 132.341.117 ; 386.978.188 
14;JAKARTA KAM;C000058791;BEST DENKI CENTRAL PARK;MODERN;A; 3 ;2;; 5 ; 732.503.790 ; 177.134.520 ; 909.638.310 
15;JAKARTA KAM;C000058792;BEST DENKI GRAND INDONESIA;MODERN;A; 1 ;1;; 2 ; 213.762.541 ; 86.431.838 ; 300.194.379 
16;JAKARTA KAM;C000058795;BEST DENKI PLUIT VILLAGE;MODERN;A; 1 ;1;; 2 ; 586.955.613 ; 155.174.308 ; 742.129.921 
17;JAKARTA KAM;C000058812;CARREFOUR LEBAK BULUS;MODERN;B1; 2 ;1;; 3 ; 176.417.805 ; 62.282.105 ; 238.699.910 
18;JAKARTA KAM;C000058814;CARREFOUR TAMAN PALEM;MODERN;B1; 1 ;1;; 2 ; 102.091.351 ; 42.273.227 ; 144.364.578 
19;JAKARTA KAM;C000058815;CARREFOUR KRAMAT JATI;MODERN;B1;;;1; 1 ; 31.681.919 ; 37.065.296 ; 68.747.215 
20;JAKARTA KAM;C000058816;CARREFOUR DUTA MERLIN;MODERN;B1;;;1; 1 ; 12.090.904 ; 2.545.462 ; 14.636.366 
21;JAKARTA KAM;C000058818;CARREFOUR ITC BSD;MODERN;B1; 1 ;1;; 2 ; 189.009.785 ; 69.775.375 ; 258.785.160 
22;JAKARTA KAM;C000058819;CARREFOUR PURI INDAH;MODERN;B1;;;1; 1 ; 147.418.532 ; 63.008.050 ; 210.426.582 
23;JAKARTA KAM;C000058820;CARREFOUR ITC PERMATA HIJAU;MODERN;B1; 1 ;1;; 2 ; 167.745.945 ; 80.818.955 ; 248.564.900 
24;JAKARTA KAM;C000058821;CARREFOUR ITC KUNINGAN;MODERN;B1;;;1; 1 ; 132.145.722 ; 32.524.285 ; 164.670.007 
25;JAKARTA KAM;C000058822;CARREFOUR CEMPAKA PUTIH;MODERN;B1; 2 ;1;; 3 ; 231.916.765 ; 84.369.329 ; 316.286.094 
26;JAKARTA KAM;C000058823;CARREFOUR ITC CEMPAKA MAS;MODERN;B1; 2 ;1;; 3 ; 175.273.017 ; 37.634.961 ; 212.907.978 
27;JAKARTA KAM;C000058825;CARREFOUR BLUE MALL;MODERN;B1; 1 ;1;; 2 ; 86.227.333 ; 46.119.629 ; 132.346.962 
28;JAKARTA KAM;C000058826;CARREFOUR TAMINI SQUARE;MODERN;B1;;;1; 1 ; 93.362.958 ; 47.331.753 ; 140.694.711 
29;JAKARTA KAM;C000058827;CARREFOUR MANGGA DUA SQUARE;MODERN;B2;;;1; 1 ; 80.954.809 ; 9.443.651 ; 90.398.460 
